Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Philip Broberg,0569,3,10,13,8,23,31,0,0,0,11,23,34,22,56,78
Pius Suter,0570,21,9,30,17,33,50,19,20,39,15,15,30,72,77,149
Jonathan Drouin,0571,14,19,33,20,40,60,14,31,45,19,34,53,67,124,191
Jimmy Snuggerud,0572,0,0,0,0,0,0,0,0,0,1,11,12,1,11,12
Oskar Sundqvist,0573,5,18,23,12,21,33,12,22,34,20,27,47,49,88,137
Tyler Tucker,0574,0,0,0,0,0,0,2,7,9,0,0,0,2,7,9
Jonatan Berggren,0575,0,0,0,9,10,19,8,13,21,11,13,24,28,36,64
Alexey Toropchenko,0576,0,0,0,7,4,11,20,17,37,4,9,13,31,30,61
Justin Holl,0577,2,6,8,11,12,23,7,19,26,3,34,37,23,71,94
Nathan Walker,0578,0,0,0,7,12,19,7,12,19,2,13,15,16,37,53
Dalibor Dvorsky,0579,0,0,0,0,0,0,0,0,0,13,9,22,13,9,22
Logan Mailloux,0582,0,0,0,0,0,0,0,0,0,3,4,7,3,4,7
Torey Krug,0585,8,22,30,15,42,57,9,25,34,7,32,39,39,121,160
Nikita Kucherov,0586,24,20,44,39,50,89,45,42,87,52,28,80,160,140,300
Victor Hedman,0587,6,23,29,10,50,60,9,41,50,19,25,44,44,139,183
Brandon Hagel,0588,3,2,5,18,32,50,24,34,58,34,25,59,79,93,172
Jake Guentzel,0589,24,29,53,26,34,60,34,37,71,41,43,84,125,143,268
Brayden Point,0590,28,34,62,21,58,79,20,59,79,44,37,81,113,188,301
Anthony Cirelli,0591,10,20,30,19,39,58,12,35,47,25,28,53,66,122,188
Darren Raddysh,0592,0,0,0,0,0,0,4,12,16,6,21,27,10,33,43
Erik Cernak,0593,2,17,19,6,14,20,11,16,27,5,24,29,24,71,95
Ryan McDonagh,0594,3,15,18,6,22,28,8,14,22,12,24,36,29,75,104
Oliver Bjorkstrand,0595,27,20,47,34,34,68,20,29,49,13,17,30,94,100,194
Yanni Gourde,0596,17,21,38,20,43,63,20,33,53,17,30,47,74,127,201
Nick Paul,0597,1,11,12,10,8,18,17,23,40,20,37,57,48,79,127
J.J. Moser,0598,0,0,0,4,15,19,7,19,26,9,23,32,20,57,77
Corey Perry,0599,0,0,0,18,25,43,15,19,34,0,12,12,33,56,89
Emil Lilleberg,0600,0,0,0,0,0,0,0,0,0,1,10,11,1,10,11
Gage Goncalves,0601,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7
Pontus Holmberg,0602,0,0,0,0,0,0,6,21,27,7,12,19,13,33,46
Zemgus Girgensons,0605,0,0,0,12,12,24,6,10,16,8,11,19,26,33,59
William Nylander,0609,27,26,53,26,32,58,40,44,84,40,37,77,133,139,272
Auston Matthews,0610,25,28,53,36,45,81,44,45,89,45,29,74,150,147,297
Matthew Knies,0611,0,0,0,0,0,0,21,25,46,26,36,62,47,61,108
John Tavares,0612,18,16,34,30,39,69,32,41,73,18,37,55,98,133,231
Morgan Rielly,0613,4,26,30,4,44,48,7,45,52,12,44,56,27,159,186
Oliver Ekman-Larsson,0614,2,22,24,13,27,40,4,14,18,12,21,33,31,84,115
Jake McCabe,0615,0,14,14,6,18,24,14,21,35,5,31,36,25,84,109
Christopher Tanev,0616,1,15,16,8,19,27,6,7,13,3,41,44,18,82,100
Brandon Carlo,0617,4,10,14,7,13,20,9,10,19,7,41,48,27,74,101
Nicholas Robertson,0618,0,0,0,16,19,35,25,23,48,9,17,26,50,59,109
Mattias Maccelli,0619,0,0,0,11,21,32,14,36,50,20,31,51,45,88,133
Max Domi,0620,13,10,23,19,41,60,13,38,51,14,17,31,59,106,165
Troy Stecher,0621,0,4,4,4,16,20,6,13,19,2,13,15,12,46,58
Steven Lorentz,0622,0,0,0,5,11,16,8,16,24,1,8,9,14,35,49
Dakota Joshua,0623,0,0,0,8,12,20,13,21,34,14,20,34,35,53,88
Simon Benoit,0624,0,0,0,0,0,0,3,8,11,3,16,19,6,24,30
Calle Jarnkrrok,0625,11,7,18,9,26,35,13,26,39,9,15,24,42,74,116
Philippe Myers,0627,2,4,6,5,11,16,0,0,0,0,0,0,7,15,22
Michael Pezzetta,0628,0,0,0,15,14,29,0,0,0,0,0,0,15,14,29
Benoit-Olivier Groulx,0629,1,2,3,15,14,29,9,11,20,7,20,27,32,47,79
Clayton Keller,0631,18,20,38,27,54,81,27,50,77,34,32,66,106,156,262
Dylan Guenther,0632,3,2,5,10,9,19,14,31,45,32,39,71,59,81,140
